transaction_id,date,vendor,description,amount,status
TXN-2024-0991,2024-10-03,Amazon Web Services,Monthly cloud infrastructure – EC2 & S3,4821.44,completed
TXN-2024-1008,2024-10-07,Stripe,Payment processing fees – September settlement,312.88,completed
TXN-2024-1019,2024-10-10,Notion,Team workspace – annual plan proration,216.00,completed
TXN-2024-1033,2024-10-14,Zoom,Business Pro – 12-seat annual renewal,1559.88,completed
TXN-2024-1047,2024-10-18,HubSpot,CRM Starter – monthly subscription,450.00,completed
TXN-2024-1058,2024-10-22,GitHub,Teams plan – monthly billing,168.00,completed
TXN-2024-1071,2024-11-04,Acme Corp,Auto-pay INV-2024-0847,3127.50,completed
TXN-2024-1084,2024-11-06,Twilio,SMS & email API usage – October 2024,94.73,completed
TXN-2024-1096,2024-11-08,Slack,Pro plan – 18 seats monthly,270.00,completed
TXN-2024-1112,2024-11-12,Google Workspace,Business Standard – 15 users monthly,330.00,completed
